КОД;;;Цена;Описание
13904;"Кружка 200мл 07с1337 ""Гламур""";"Кружка 200мл 07с1337 ""Гламур"" - Стекло (Россия) ОСЗ";"Кружка 200мл 07с1337 ""Гламур"" - Стекло (Россия) ОСЗ";"Высота: 69мм.
Диаметр: 86мм.
Объем: 200мл."
14266;"Кружка 200мл 08с1416 ""Прага""";"Кружка 200мл 08с1416 ""Прага"" - Стекло (Россия) ОСЗ";"Кружка 200мл 08с1416 ""Прага"" - Стекло (Россия) ОСЗ";"Высота: 64мм.
Диаметр: 92мм.
Объем: 200мл."
20047;"Кружка 200мл 09с1452 ""Карамель""";"Кружка 200мл 09с1452 ""Карамель"" - Стекло (Россия) ОСЗ";"Кружка 200мл 09с1452 ""Карамель"" - Стекло (Россия) ОСЗ";"Высота: 160мм.
Диаметр: 61мм.
Объем: 250мл."
20046;"Кружка 200мл 10с1561 ""Глинтвейн""";"Кружка 200мл 10с1561 ""Глинтвейн"" - Стекло (Россия) ОСЗ";"Кружка 200мл 10с1561 ""Глинтвейн"" - Стекло (Россия) ОСЗ";"Высота: 142мм.
Диаметр: 76мм.
Объем: 200мл."
23132;"Кружка 200мл 11с1566 ""Матрица""";"Кружка 200мл 11с1566 ""Матрица"" - Стекло (Россия) ОСЗ";"Кружка 200мл 11с1566 ""Матрица"" - Стекло (Россия) ОСЗ";"Высота: 91мм.
Диаметр: 73мм.
Объем: 200мл."
17134;"Кружка 200мл 8с1405 ""Глинтвейн""";"Кружка 200мл 8с1405 ""Глинтвейн"" - Стекло (Россия) ОСЗ";"Кружка 200мл 8с1405 ""Глинтвейн"" - Стекло (Россия) ОСЗ";"Высота: 143мм.
Диаметр: 76мм.
Объем: 200мл."
12879;"Кружка 290мл 07с1334 ""Капучино""";"Кружка 290мл 07с1334 ""Капучино"" - Стекло (Россия) ОСЗ";"Кружка 290мл 07с1334 ""Капучино"" - Стекло (Россия) ОСЗ";"Высота: 112мм.
Диаметр: 80мм.
Объем: 300мл."
12486;"Кружка 300мл 04с1208 ""Чайная""";"Кружка 300мл 04с1208 ""Чайная"" - Стекло (Россия) ОСЗ";"Кружка 300мл 04с1208 ""Чайная"" - Стекло (Россия) ОСЗ";"Высота: 97мм.
Диаметр: 80мм.
Объем: 300мл."
15957;"Кружка 300мл 09с1433 ""Gren tea""";"Кружка 300мл 09с1433 ""Gren tea"" - Стекло (Россия) ОСЗ";"Кружка 300мл 09с1433 ""Gren tea"" - Стекло (Россия) ОСЗ";"Высота: 112мм.
Диаметр: 77мм.
Объем: 300мл."
16068;Кружка 330мл 02с1010 д/пива Минден;Кружка 330мл 02с1010 д/пива Минден - Стекло (Россия) ОСЗ;Кружка 330мл 02с1010 д/пива Минден - Стекло (Россия) ОСЗ;"Высота: 152мм.
Диаметр: 73мм.
Объем: 330мл."
19612;"Кружка 330мл 09с1486 ""Ладья""";"Кружка 330мл 09с1486 ""Ладья"" - Стекло (Россия) ОСЗ";"Кружка 330мл 09с1486 ""Ладья"" - Стекло (Россия) ОСЗ";"Высота: 150мм.
Диаметр: 74мм.
Объем: 330мл."
17657;"Кружка 330мл 4с1172 ""Ладья""";"Кружка 330мл 4с1172 ""Ладья"" - Стекло (Россия) ОСЗ";"Кружка 330мл 4с1172 ""Ладья"" - Стекло (Россия) ОСЗ";"Высота: 145мм.
Диаметр: 71мм.
Объем: 330мл."
14001;"Кружка 400мл 06с1300 ""Пинта""";"Кружка 400мл 06с1300 ""Пинта"" - Стекло (Россия) ОСЗ";"Кружка 400мл 06с1300 ""Пинта"" - Стекло (Россия) ОСЗ";"Высота: 138мм.
Диаметр: 86мм.
Объем: 400мл."
14000;"Кружка 400мл 07с1303 ""Ладья""";"Кружка 400мл 07с1303 ""Ладья"" - Стекло (Россия) ОСЗ";"Кружка 400мл 07с1303 ""Ладья"" - Стекло (Россия) ОСЗ";"Высота: 138мм.
Диаметр: 83мм.
Объем: 400мл."
17223;"Кружка 400мл 09с1488 ""Капучино"" Бесцветн";"Кружка 400мл 09с1488 ""Капучино"" Бесцветн - Стекло (Россия) ОСЗ";"Кружка 400мл 09с1488 ""Капучино"" Бесцветн - Стекло (Россия) ОСЗ";"Высота: 140мм.
Диаметр: 80мм.
Объем: 400мл."
12308;"Кружка 500мл 04с1144 ""Ладья""";"Кружка 500мл 04с1144 ""Ладья"" - Стекло (Россия) ОСЗ";"Кружка 500мл 04с1144 ""Ладья"" - Стекло (Россия) ОСЗ";"Высота: 160мм.
Диаметр: 90мм.
Объем: 500мл."
12309;"Кружка 500мл 05с1253 ""Пит""";"Кружка 500мл 05с1253 ""Пит"" - Стекло (Россия) ОСЗ";"Кружка 500мл 05с1253 ""Пит"" - Стекло (Россия) ОСЗ";"Высота: 162мм.
Диаметр: 86мм.
Объем: 500мл."
15300;"Кружка 500мл 05с1354 ""Минден""";"Кружка 500мл 05с1354 ""Минден"" - Стекло (Россия) ОСЗ";"Кружка 500мл 05с1354 ""Минден"" - Стекло (Россия) ОСЗ";"Высота: 185мм.
Диаметр: 80мм.
Объем: 500мл."
